lead_id,source,company_or_team,city,service_categories,current_services,public_case_url,contact_channel,contact_person,local_life_fit,industry_fit,service_chain_fit,batch_client_fit,geo_pilot_fit,total_score,outreach_status,interview_status,willing_to_provide_store,next_step,notes
L001,官方/半官方入口,抖音生活服务星级认证服务商名单入口,全国,餐饮;综合;酒旅,星级服务商;经营力;内容力;营销力,https://news.sina.cn/sx/2024-01-31/detail-inafmiac9012467.d.html,通过平台名单二次查找具体公司,,2,2,2,2,1,9,未联系,未访谈,待确认,从星级名单筛选城市和行业,"入口型线索，不是单家公司"
L002,公开报道,方联文化传媒（成都）有限公司/千千惠,成都;全国,餐饮;综合;本地生活,全案营销;短视频;直播;图文;私域,https://www.qqh.vip/contactUs.html,官网联系页/合伙人报名/公开电话微信/邮箱,,2,2,2,2,2,10,待发送,未访谈,待确认,优先从官网联系页或合伙人报名通道外联,"官网联系页显示本地生活运营招聘与联系方式；公开报道资质仍需二次核验"
L003,公开报道,南京争分夺秒网络科技有限公司/抖服,南京;上海,餐饮;本地生活,大客户全案;餐饮生活服务,https://www.crunchbase.com/organization/doufu-is-a-douyin-life-service-provider,Crunchbase/实习僧公司页/公开报道，无可直接使用联系方式,,2,2,2,2,2,10,待核验联系方式,未访谈,待确认,继续查官网/公众号/抖音号/商务入口,"公开资料确认其抖音生活服务商定位；实习僧电话脱敏，不足以直接外联"
L004,公开报道,创想数维（奥拓电子子公司）,深圳;全国,亲子;商业综合;本地生活,XR虚拟直播;创意营销;直播运营,https://finance.sina.cn/tech/2025-10-09/detail-inftiina1915992.d.html?fromtech=1&vt=4,上市公司/官网公开渠道,,2,1,2,2,1,8,未联系,未访谈,待确认,查找业务负责人,"技术型服务商，适合验证直播/内容任务是否需要AI可见性"
L005,第三方榜单待核验,合肥三十六行网络科技有限公司,合肥;多地,餐饮;休娱;文旅;零售,抖音生活服务;美团;小红书;大众点评;高德,https://www.zhipin.com/companys/dc226a18fef213c71Hx82tq1GFU~.html,BOSS直聘公司页/第三方文章/需登录或继续查官网,,2,2,2,2,2,10,待核验联系方式,未访谈,待确认,从招聘平台/官网/公众号继续查商务入口,"BOSS页显示本地生活运营、抖音官方运营服务商等信号；联系方式仍需核验"
L006,第三方榜单待核验,极闪点赞,广州;深圳,餐饮;本地生活,餐饮代运营;团购;达人;直播;本地推,https://www.macheng.com.cn/article/169861776254070.shtml,第三方报道页，无直接联系方式；需查官网/公众号/抖音号,,2,2,2,2,2,10,待核验联系方式,未访谈,待确认,继续查找官网/公众号/公开视频账号,"第三方报道称其餐饮本地生活服务规模较大；联系渠道和资质均待核验"
L007,招聘公开信息,沈阳川悦信息技术咨询有限公司/川悦传媒,沈阳,本地生活;MCN,本地生活服务;MCN直播运营策划,https://www.zhaopin.com/companydetail/CZL1482505840.htm,招聘页/公司公开渠道,,2,1,2,1,1,7,未联系,未访谈,待确认,可从招聘页查公司联系方式,"招聘信息称其为抖音生活服务官方授权四星服务商，需核验"
L008,招聘公开信息,河南中鼎文旅科技有限公司/八戒游世界,河南,酒旅;景区;餐饮,景区票务;本地生活商家服务;全案整合营销,https://zhjyb.zua.edu.cn/module/companydetail/id-2994800/nid-5120,高校就业信息网/招聘平台入口，无直接商务联系方式,,2,2,2,1,2,9,待核验联系方式,未访谈,待确认,通过招聘平台/品牌号/公众号继续找商务入口,"就业信息网显示八戒游世界、本地生活、达人和月度GMV信号；适合酒旅文旅访谈但联系方式待核验"
L009,官网公开线索,联凯文,待查,本地生活;餐饮;门店,全媒体配套;达人矩阵;门店覆盖,https://www.linkevin.cn/,官网公开渠道,,2,2,2,1,1,8,未联系,未访谈,待确认,核验城市与服务客户,"官网定位抖音本地生活全媒体配套服务商"
L010,官网公开线索,高搜互联,北京;全国,美甲;美容;温泉;景区;美发;儿童乐园,抖音本地生活;美团点评代运营;项目案例,https://www.igaosou.com/,官网电话/邮箱/在线咨询/微信二维码,,2,2,2,1,2,9,待发送,未访谈,待确认,优先从官网在线咨询或电话外联,"官网列出联系方式和多类本地生活案例，适合非餐饮访谈；案例真实性仍需访谈核验"
L011,官网公开线索,济南抖音推广运营中心,济南,本地生活;企业营销,抖音推广运营;短视频拍摄;直播运营;团购运营,https://wwjz.net/,官网公开渠道,,1,1,2,1,1,6,未联系,未访谈,待确认,作为B类补充,"更偏综合营销/推广，需确认本地生活服务深度"
L012,第三方文章待核验,成都引力波网络科技有限公司,成都,本地生活;电商,抖音企业号代运营;本地生活团购;短视频投放;直播,https://www.sinoasphalt.com/News/Info_475074_3_0_0.html,公开联系方式待查,,2,1,2,1,2,8,未联系,未访谈,待确认,查找官网或工商信息,"第三方评选文章提及，需核验真实性和服务范围"
L013,行业文章线索,武汉珍瓒传媒,武汉,本地生活;团购,团购代运营;视频拍摄;达人撮合;直播,https://www.80tg.com/news/25594.html,公开联系方式待查,,2,1,2,1,1,7,未联系,未访谈,待确认,作为B类补充,"文章介绍本地生活服务推广策略，可验证区域服务商视角"
L014,官网公开线索,随趣传媒,北京;全国,餐饮;酒旅;丽人;本地生活,抖音本地生活代运营;团购运营;达人探店;直播运营,https://suiqu.net/2.html,官网关于我们页;电话;邮箱;在线客服,,2,2,2,2,2,10,待发送,未访谈,待确认,优先用官网运营需求入口或在线客服；备选电话/邮箱,"官网关于我们页公开电话 13011208960、13691516456 和邮箱 1039900924@qq.com；公开定位为抖音/本地生活服务商，适合第二批优先约访"
L015,官网公开线索,运朗科技/运达社,上海;全国,餐饮;本地生活;企业门店,抖音团购代运营;短视频运营;直播运营;门店推广,https://www.yundashe.cn/contact.html,官网联系我们页;电话;商务合作二维码,,2,2,2,1,2,9,待发送,未访谈,待确认,优先用官网商务合作二维码；备选电话 021-64660258,"官网联系我们页公开电话、地址和商务合作二维码；可验证中小服务商是否愿意试用报告"
L016,官网公开线索,易亚电商,杭州;全国,本地生活;综合服务,抖音代运营;本地生活服务;直播短视频;账号运营,https://www.yiyaweb.com/,官网公开渠道,,2,1,2,1,1,7,待核验联系方式,未访谈,待确认,核验其本地生活服务深度后外联,"官网有抖音代运营和本地生活相关服务表述，但需确认实体门店客户占比"
L017,官网公开线索,鹏讯传媒,乌鲁木齐;新疆;全国,餐饮;本地生活;到店服务,抖音本地生活代运营;短视频;直播;团购运营,https://pxinter.com/contact.html,官网联系我们页;合作热线;商务邮箱;合作意向表单,,2,2,2,1,2,9,待发送,未访谈,待确认,优先提交官网合作意向表单；备选合作热线/商务邮箱,"官网联系我们页公开合作热线 0991-5261888、商务邮箱 159107159@qq.com 和合作意向表单；适合验证区域服务商场景"
L018,官网公开线索,新胜天下,全国,本地生活;综合营销,抖音代运营;短视频运营;直播运营;矩阵运营,https://www.xinshengtianxia.com/,官网公开渠道,,1,1,2,1,1,6,待核验联系方式,未访谈,待确认,作为B类补充并核验是否真实做本地生活,"更偏综合抖音运营服务，需确认是否服务本地生活门店和月报交付"
